Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,13pF_50V,
"C10, C12",CP_EIA-3528-12_Kemet-T,2,10uF_25V,
"C11, C4",0805,2,22uF_16V,
"C13, C14, C16, C17, C19, C21, C24, C26, C27, C28, C29, C31, C37, C38, C39, C40, C42, C43, C44, C45, C46",0402,21,100nF,
"C15, C18, C20, C22, C23, C25, C30, C32, C41, C8",0402,10,10nF,
"C3, C49, C7",0402,3,100nF_25V,
"C33, C6",0805,2,22uF_6.3V,
"C34, C35, C36",0402,3,22uF_6.3V,
"C47, C52",0402,2,10uF,
C48,0402,1,10uF_10V,
C5,0805,1,10uF_10V,
C9,0603,1,1uF,
CR2,UDFEN-10_MO229_LTF-L,1,SP3010-04UTG,
D1,0805,1,LED_Green,
"D3, D4",D_SOD-323,2,SD05_SOD323,
"FB1, FB2, FB3, FB4, FB5, FB6, FB7",0805,7,FerriteBead_Small,
IC1,CYUSB3014-BZXC,1,CYUSB3014-BZXC,
"J1, J2",PinHeader_1x02_P2.54mm_Vertical,2,B-2100S02P-A110,
J3,MOLEX_1054500101,1,1054500101,
J4,PinHeader_2x05_P2.54mm_Vertical,1,Conn_ARM_JTAG_SWD_10,
"J5, J6",USB Plug-GCT_USB4155-03-C_REVA,2,USB4155-03-C_REVA,
J7,CONN_7024720xx_MOL,1,702472054,
L1,0805,1,2u2H,
PS1,SOT95P285X140-5N,1,SY6280AAC,
"R1, R16, R18, R2, R4",0402,5,10K,
"R10, R11, R5",0805,3,2K,
"R12, R17",0402,2,200R 1%,
R13,0805,1,6K04 1%,
"R14, R15, R19",0402,3,5K1,
R3,0603,1,470,
R6,0805,1,4K7,
R7,0805,1,1K5,
R8,0805,1,180,
R9,0805,1,100K,
SW1,SW2_1825027-E_TEC,1,1-1825027-4,
"U1, U3",SOT230P700X180-4N,2,NCP1117ST33T3G,
U11,SOT-23-6,1,WE-TVS-82400102,
U2,SOT_CSKTRT_SEM,1,SC189CSKTRT,
U4,SO_RMN6TP_STM,1,M24M02-DRMN6TP,
"U5, U6, U7, U8",WQFN14_BQA_TEX,4,TXU0104QWBQARQ1,
U9,TSOP5_3X1P5_ONS,1,NCP360SNT1G,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,19.2 MHz,
